2019-04-22-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-22-12,31,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,36
2019-04-22-13,143,54,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0.0,200
2019-04-22-14,105,119,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0,232
2019-04-22-15,124,240,16,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0.0,387
2019-04-22-16,24,30,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0.0,59
2019-04-22-17,60,35,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0.0,101
2019-04-22-18,150,23,20,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0.0,208
2019-04-22-19,320,39,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0.0,364
2019-04-22-20,142,69,0,0,0,1,5,0,0,0,3,0,0,0,0,0,0,0.0,220
2019-04-22-21,26,9,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.0,44
2019-04-22-22,139,2,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.0,153
2019-04-22-23,157,22,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0,184
2019-04-23-00,231,397,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,633
2019-04-23-01,50,392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,443
2019-04-23-02,28,55,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,89
2019-04-23-03,33,80,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0.0,119
2019-04-23-04,202,11,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,225
2019-04-23-05,44,2,2,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0.0,111
2019-04-23-06,116,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,146
2019-04-23-07,62,104,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,168
2019-04-23-08,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,55
2019-04-23-09,28,133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,88,0.54,162
2019-04-23-10,42,89,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0.267,133
2019-04-23-11,9,106,8,0,0,0,1,0,0,0,0,0,0,0,0,0,57,0.449,124
2019-04-23-12,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0.357,13
2019-04-23-13,13,122,3,0,0,0,2,0,0,1,0,0,0,0,0,0,71,0.504,141
2019-04-23-14,238,311,0,0,0,0,0,0,0,1,0,0,2,0,0,0,120,0.215,552
2019-04-23-15,267,469,0,0,0,0,0,0,0,0,0,0,1,0,0,0,180,0.23,737
2019-04-23-16,255,225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.097,481
2019-04-23-17,79,406,5,0,0,1,0,0,0,2,0,0,0,0,0,0,45,0.081,493
2019-04-23-18,95,278,14,0,0,0,1,0,0,1,0,0,0,0,0,1,29,0.073,390
2019-04-23-19,78,55,1,0,0,2,1,0,0,0,0,0,0,0,0,0,31,0.179,137
2019-04-23-20,96,52,5,0,0,2,2,0,0,0,0,0,1,0,0,6,22,0.104,164
2019-04-23-21,66,27,0,0,0,0,1,0,0,0,0,0,3,0,0,2,12,0.105,99
2019-04-23-22,103,30,0,0,0,0,5,0,0,0,0,0,0,0,0,1,10,0.07,139
2019-04-23-23,262,12,0,0,0,1,0,2,0,2,0,0,0,0,0,0,14,0.043,279
2019-04-24-00,677,41,0,0,0,22,0,0,0,0,1,2,0,0,0,0,114,0.151,743
2019-04-24-01,304,378,0,0,0,0,0,0,0,2,0,0,0,0,0,0,237,0.342,684
2019-04-24-02,442,156,2,0,0,2,1,0,0,0,1,0,0,0,0,0,153,0.252,604
2019-04-24-03,823,1582,9,0,0,7,16,0,1,0,0,0,1,0,0,0,622,0.247,2439
2019-04-24-04,561,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.036,648
2019-04-24-05,534,37,13,0,0,0,0,0,0,2,0,0,0,0,0,0,45,0.054,586
2019-04-24-06,162,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.02,174
2019-04-24-07,197,40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,62,0.218,239
2019-04-24-08,75,251,7,0,0,0,1,0,0,0,0,0,0,0,0,0,67,0.197,334
2019-04-24-09,65,18,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0.058,86
2019-04-24-10,52,80,0,0,0,0,0,0,0,2,0,0,0,0,0,0,42,0.309,134
2019-04-24-11,70,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.075,101
2019-04-24-12,63,280,0,0,0,4,0,0,0,1,0,0,0,0,0,0,105,0.297,348
2019-04-24-13,81,53,0,0,0,1,2,0,0,0,0,0,0,0,0,0,54,0.388,137
2019-04-24-14,139,130,0,0,0,2,4,0,0,5,0,0,0,0,0,3,92,0.301,283
2019-04-24-15,94,238,0,0,0,0,4,0,0,0,0,0,0,0,0,0,66,0.196,336
2019-04-24-16,47,98,1,0,0,0,1,0,0,0,0,0,0,0,0,3,23,0.133,150
2019-04-24-17,62,135,8,0,0,0,1,0,0,10,0,0,0,0,0,0,15,0.061,216
2019-04-24-18,534,236,1,0,0,0,3,0,0,11,0,0,4,0,0,0,87,0.11,789
2019-04-24-19,244,139,1,0,0,0,1,0,0,1,0,0,0,0,0,0,106,0.275,386
2019-04-24-20,136,698,2,0,0,0,2,2,0,1,0,0,0,0,0,0,57,0.067,841
2019-04-24-21,754,146,15,0,0,0,4,1,0,2,0,0,0,0,0,0,156,0.166,922
2019-04-24-22,738,249,1,0,0,0,1,0,0,5,0,0,0,0,0,0,165,0.161,994
2019-04-24-23,47,194,46,0,0,0,10,1,0,2,0,28,0,0,0,2,10,0.026,330
2019-04-25-00,147,57,6,0,0,0,3,2,0,0,0,4,0,0,0,0,4,0.018,219
2019-04-25-01,141,5,15,0,0,0,3,0,2,0,0,1,0,3,0,0,8,0.046,170
2019-04-25-02,536,38,0,0,0,0,0,0,0,10,0,2,0,0,0,0,103,0.15,586
2019-04-25-03,91,154,63,0,0,0,0,0,0,4,0,3,37,0,0,2,30,0.084,354
2019-04-25-04,2,21,4,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0.062,30
2019-04-25-05,1,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.0,14
2019-04-25-06,69,16,3,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0.0,93
2019-04-25-07,85,70,2,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0.058,164
2019-04-25-08,14,171,153,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,339
2019-04-25-09,0,107,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.009,109
2019-04-25-10,0,9,1,0,0,0,1,0,0,17,0,0,0,0,0,0,2,0.057,28
2019-04-25-11,1,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0.0,7
2019-04-25-12,8,38,0,0,0,0,1,0,0,3,0,1,0,0,0,1,8,0.151,52
2019-04-25-13,37,24,0,0,0,0,0,0,0,35,0,0,0,0,0,1,4,0.039,97
2019-04-25-14,206,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.054,499
2019-04-25-15,169,84,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.0,259
2019-04-25-16,16,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.058,92
2019-04-25-17,82,94,4,0,0,0,0,1,0,8,0,0,0,0,0,0,31,0.146,189
2019-04-25-18,42,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.067,60
2019-04-25-19,36,0,3,0,0,1,0,0,0,13,0,0,0,0,0,0,1,0.018,53
2019-04-25-20,26,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.011,92
2019-04-25-21,156,45,3,0,0,1,0,2,0,0,0,0,0,0,0,0,9,0.043,207
2019-04-25-22,74,185,13,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0.042,280
2019-04-25-23,86,49,44,0,0,0,0,0,0,5,0,0,19,0,0,0,11,0.051,203
2019-04-26-00,253,68,0,0,0,3,3,0,0,15,0,0,2,0,0,0,65,0.189,344
2019-04-26-01,26,1,0,0,0,0,23,0,0,3,0,0,0,0,0,0,4,0.068,53
2019-04-26-02,19,25,2,0,0,2,2,0,0,4,0,0,1,0,0,0,2,0.032,55
2019-04-26-03,127,33,0,0,0,2,2,0,0,17,0,3,0,0,0,0,46,0.249,184
2019-04-26-04,197,109,0,0,0,0,0,0,0,5,0,1,0,0,0,0,146,0.466,312
2019-04-26-05,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.107,57
2019-04-26-06,198,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0.006,205
2019-04-26-07,115,4,0,0,0,1,0,0,0,0,0,0,9,0,0,0,29,0.21,129
2019-04-26-08,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0.477,219
2019-04-26-09,16,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.034,28
2019-04-26-10,3,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0.0,16
2019-04-26-11,3,9,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0.017,56
2019-04-26-12,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.059,15
2019-04-26-13,5,29,0,0,0,0,0,0,0,42,0,0,0,0,0,5,9,0.111,81
2019-04-26-14,278,17,1,0,0,0,0,0,0,145,0,1,55,0,0,10,103,0.2,507
2019-04-26-15,21,0,12,0,0,3,0,0,0,20,0,4,26,3,0,0,2,0.022,89
2019-04-26-16,113,41,0,0,0,0,64,0,0,0,0,0,52,1,0,4,13,0.043,275
2019-04-26-17,134,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0.101,162
2019-04-26-18,111,87,1,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0.056,204
2019-04-26-19,37,42,68,0,0,2,0,0,0,9,4,1,0,0,0,0,7,0.039,163
2019-04-26-20,122,2,8,0,0,1,0,2,0,38,0,0,0,0,0,0,8,0.033,173
2019-04-26-21,294,7,1,3,0,0,1,3,0,1,0,0,0,0,0,7,66,0.194,317
2019-04-26-22,157,9,32,1,0,1,0,0,0,2,0,0,0,0,0,3,7,0.034,205
2019-04-26-23,104,253,1,0,0,5,1,1,0,10,0,0,0,0,0,0,2,0.005,375
2019-04-27-00,173,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.035,190
2019-04-27-01,125,215,0,0,0,0,3,0,0,0,0,0,0,0,0,0,26,0.074,343
2019-04-27-02,112,30,2,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0.026,147
2019-04-27-03,204,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,49,0.204,211
2019-04-27-04,39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0.443,61
2019-04-27-05,230,8,0,0,0,0,0,0,0,44,0,0,0,0,0,0,141,0.327,282
2019-04-27-06,87,17,0,0,0,0,4,0,0,13,0,0,0,0,0,0,92,0.348,121
2019-04-27-07,113,25,0,0,0,0,2,3,0,0,0,0,0,0,0,0,116,0.403,143
2019-04-27-08,258,68,0,0,0,0,1,0,0,0,0,0,0,0,0,2,264,0.439,329
2019-04-27-09,11,92,3,0,0,2,8,0,0,0,0,0,0,0,0,0,194,0.634,116
2019-04-27-10,4,16,1,0,0,0,0,0,0,0,0,11,0,0,0,0,15,0.326,32
2019-04-27-11,40,14,27,0,0,0,2,1,0,0,0,2,0,0,0,0,24,0.279,86
2019-04-27-12,6,6,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0.188,16
2019-04-27-13,76,95,0,0,0,0,0,1,0,0,0,0,0,0,0,3,64,0.362,175
2019-04-27-14,26,24,0,0,0,0,0,1,0,0,0,10,0,0,0,8,10,0.115,69
2019-04-27-15,94,170,0,0,0,0,1,0,0,0,0,9,0,0,0,5,52,0.168,279
2019-04-27-16,108,17,0,0,0,0,3,0,0,37,0,4,0,0,0,5,39,0.205,174
2019-04-27-17,68,106,0,0,0,0,0,0,0,2,0,10,1,0,0,0,36,0.184,187
2019-04-27-18,94,108,0,0,0,1,0,3,0,74,0,21,0,0,0,2,58,0.191,303
2019-04-27-19,188,209,17,0,0,0,1,3,0,71,0,0,0,0,0,0,4,0.008,489
2019-04-27-20,145,100,88,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0.0,339
2019-04-27-21,46,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.025,52
2019-04-27-22,375,64,11,0,0,1,2,0,0,0,0,4,0,0,0,0,11,0.023,457
2019-04-27-23,474,53,0,0,0,0,2,0,0,0,0,26,0,0,0,0,1,0.002,555
2019-04-28-00,182,142,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.008,328
2019-04-28-01,99,53,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0.051,154
2019-04-28-02,60,145,1,0,0,0,4,1,0,0,0,0,0,0,0,0,25,0.093,211
2019-04-28-03,103,138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0.101,242
2019-04-28-04,23,127,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23,0.135,152
2019-04-28-05,263,194,0,0,0,0,0,0,0,7,0,0,0,0,0,0,26,0.055,464
2019-04-28-06,102,85,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0.035,192
2019-04-28-07,4,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.0,22
2019-04-28-08,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.133,24
2019-04-28-09,277,33,0,0,0,0,0,1,0,5,0,0,0,0,0,0,48,0.152,316
2019-04-28-10,9,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,72
2019-04-28-11,6,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,10
2019-04-28-12,5,9,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0.0,22
2019-04-28-13,10,22,0,0,0,0,0,1,0,1,0,1,0,0,0,1,5,0.075,36
2019-04-28-14,248,17,0,0,0,0,8,0,0,1,0,2,0,0,0,0,4,0.014,276
2019-04-28-15,255,34,0,0,0,0,0,0,0,2,0,0,0,0,0,0,221,0.544,291
2019-04-28-16,183,27,0,0,0,0,2,0,0,6,0,0,0,0,0,0,445,0.595,218
2019-04-28-17,70,69,3,0,0,0,0,1,0,0,0,0,0,0,0,0,84,0.302,143
2019-04-28-18,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,45
2019-04-28-19,225,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.004,229
2019-04-28-20,258,15,1,0,0,1,0,0,1,0,0,10,0,0,0,0,14,0.036,286
2019-04-28-21,67,22,0,0,0,0,49,0,0,0,0,9,0,0,0,0,30,0.189,147
2019-04-28-22,97,97,0,0,0,0,0,0,1,0,0,0,6,0,0,0,46,0.194,201
2019-04-28-23,133,35,12,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0.023,182
2019-04-29-00,69,18,1,0,0,0,2,0,0,1,0,0,0,0,0,0,6,0.053,91
2019-04-29-01,27,29,0,0,0,0,1,0,0,0,0,5,0,0,0,0,4,0.062,62
2019-04-29-02,34,0,0,0,0,0,1,0,0,5,0,0,2,0,0,0,8,0.083,42
2019-04-29-03,134,65,0,0,0,1,0,0,0,163,0,0,0,0,0,0,28,0.075,363
2019-04-29-04,295,214,0,0,0,1,1,0,0,39,0,0,0,0,0,0,13,0.024,550
2019-04-29-05,950,176,0,0,0,0,0,0,0,48,0,0,0,0,0,0,190,0.162,1174
2019-04-29-06,995,68,0,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0.0,1149
2019-04-29-07,759,38,0,0,0,1,1,0,0,34,1,0,8,0,0,3,2,0.002,845
2019-04-29-08,379,9,0,0,0,0,0,0,3,6,0,0,0,0,0,0,86,0.217,397
2019-04-29-09,201,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,27,0.121,217
2019-04-29-10,20,9,0,0,0,0,6,0,0,0,0,0,1,1,0,0,10,0.263,37
2019-04-29-11,25,9,0,0,0,0,2,0,1,0,0,0,1,0,0,1,13,0.325,39
2019-04-29-12,34,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.021,46
2019-04-29-13,83,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.109,123
2019-04-29-14,33,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0.061,37
2019-04-29-15,100,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0.031,113
2019-04-29-16,703,42,0,0,0,0,0,0,4,0,0,4,0,0,0,0,185,0.245,753
2019-04-29-17,453,105,0,0,0,0,9,2,0,0,0,0,0,0,0,1,10,0.017,570
2019-04-29-18,112,163,0,0,0,3,4,0,2,0,0,0,0,0,0,0,17,0.053,284
2019-04-29-19,275,71,16,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0.047,364
2019-04-29-20,45,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.099,110
2019-04-29-21,183,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,221
